isrc,artistName,url,discNumber,genreNames,durationInMillis,releaseDate,name,albumName,trackNumber,composerName,artwork.width,artwork.height,artwork.url,artwork.bgColor,artwork.textColor1,artwork.textColor2,artwork.textColor3,artwork.textColor4,playParams.id,playParams.kind
USUM72002041,Pop Smoke,https://music.apple.com/us/album/element/1497237692?app=music&at=1000l33QU&i=1497237918&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",135745.0,2020-02-07,Element,Meet the Woo 2,7.0,Yosief Benjamin Tafari & Bashar Jackson,3000.0,3000.0,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/13/14/af/1314afe4-1ede-cc43-81d0-8e296a82e043/20UMGIM07215.rgb.jpg/{w}x{h}bb.jpeg,fefefe,0b0d10,272828,3b3d3f,525353,1497237918,song
DKBKA0201518,Sigurd Barrett,https://music.apple.com/us/album/pilfingerdansen-remix/1521488169?app=music&at=1000l33QU&i=1521489127&mt=1,1.0,"[""Children's Music"", 'Music']",156360.0,1999-01-01,Pilfingerdansen (Remix),Børnesange Fra Sigurds Bjørnetime – Børnemusik Med Sigurd Barrett,40.0,Sigurd Barrett,3000.0,3000.0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/a5/31/44/a5314416-8eb7-63fa-9a92-68902f237b12/20UMGIM30016.rgb.jpg/{w}x{h}bb.jpeg,990d45,b6eaf6,a6e8fe,b0bed3,a3bcd9,1521489127,song
USRC11300246,Justin Timberlake,https://music.apple.com/us/album/mirrors-radio-edit/618261177?app=music&at=1000l33QU&i=618261614&mt=1,1.0,"['Pop', 'Music']",277185.0,2013-02-11,Mirrors (Radio Edit),Mirrors (Radio Edit) - Single,1.0,N/A,1500.0,1500.0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/e7/fa/2b/e7fa2bfd-264a-6f82-7896-187a45b54259/886443898325.jpg/{w}x{h}bb.jpeg,211c16,ffffff,ddb24e,d2d1d0,b79443,618261614,song
GBKQU1777771,Pascal Letoublon,https://music.apple.com/us/album/friendships/1268721223?app=music&at=1000l33QU&i=1268721227&mt=1,1.0,"['House', 'Music', 'Dance']",242016.0,2017-09-05,Friendships,Friendships - Single,1.0,,1400.0,1400.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/46/00/96/4600965e-5c7c-10f5-f606-a07500af6f13/cover.jpg/{w}x{h}bb.jpeg,2a9ab8,030709,161616,0b242c,1a3137,1268721227,song
GBUM72002531,Sam Smith,https://music.apple.com/us/album/diamonds/1531509367?app=music&at=1000l33QU&i=1531509371&mt=1,1.0,"['Pop', 'Music']",212097.0,2020-09-19,Diamonds,Love Goes,2.0,"Sam Smith, Shellback & Oscar GÃ¶rres",3000.0,3000.0,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/e1/fc/66/e1fc66d0-d9c8-e250-e994-6875bf27e504/20UMGIM49499.rgb.jpg/{w}x{h}bb.jpeg,010300,efe4c9,cbc542,bfb7a1,a39e35,1531509371,song
DEK021177001,Peter Wibe & Marcia Juell,https://music.apple.com/us/album/only-time-will-tell-vocal-mix/470588651?app=music&at=1000l33QU&i=470588658&mt=1,1.0,"['Trance', 'Music', 'Dance']",488080.0,2011-11-11,Only Time Will Tell (Vocal Mix),Only Time Will Tell,1.0,Marcia Juell & Peter Sauer,1440.0,1440.0,https://is2-ssl.mzstatic.com/image/thumb/Music/d0/be/7b/mzi.mqzqlyrk.jpg/{w}x{h}bb.jpeg,f4f5f7,0c080a,181c22,3a3739,44474c,470588658,song
USUM71700626,Imagine Dragons,https://music.apple.com/us/album/believer/1411625594?app=music&at=1000l33QU&i=1411628233&mt=1,1.0,"['Alternative', 'Music']",204345.0,2017-02-01,Believer,Evolve,4.0,"Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson & Justin Drew Tranter",3000.0,3000.0,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/ea/dd/e6/eadde633-4f7a-811f-2f16-e0b2b40166f1/00602567491255.rgb.jpg/{w}x{h}bb.jpeg,0a1a1a,f4faf6,e7f1fa,c5cdca,bbc6cd,1411628233,song
USSM12006586,The Kid LAROI,https://music.apple.com/us/album/without-you/1538646756?app=music&at=1000l33QU&i=1538647039&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",161385.0,2020-11-06,WITHOUT YOU,F*CK LOVE (SAVAGE),7.0,"Charlton Howard, Omer Fedi, Billy Walsh & Blake Slatkin",3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/39/de/88/39de8886-d55f-5ffc-0d7d-947ad5b6163f/886448880035.jpg/{w}x{h}bb.jpeg,1e141c,e4b5a7,dba191,bc958b,b58579,1538647039,song
USRC11901068,Wizkid,https://music.apple.com/us/album/joro/1471034859?app=music&at=1000l33QU&i=1471034860&mt=1,1.0,"['Afrobeats', 'Music', 'African', 'Worldwide', 'Hip-Hop/Rap']",262737.0,2019-09-30,Joro,Joro - Single,1.0,Ayodeji Ibrahim Balogun & Onozutu Ezra Enesi,3000.0,3000.0,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/20/05/17/200517ab-c3a3-b833-74b3-9bb3399c780c/886447834886.jpg/{w}x{h}bb.jpeg,010104,ffffff,e3d5c5,cccccc,b6ab9e,1471034860,song
USUYG1305011,Sleepy Hallow & Fousheé,https://music.apple.com/us/album/deep-end-freestyle/1506089615?app=music&at=1000l33QU&i=1506089856&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",115200.0,2020-04-03,Deep End Freestyle,Deep End Freestyle - Single,1.0,"Tegan Chambers, Johnathan Scott, Jeremy Soto & Karel Jorge",1500.0,1500.0,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/8c/20/e5/8c20e5ca-33d7-ae38-2af3-2aa74949a026/194690171161_cover.jpg/{w}x{h}bb.jpeg,0a071b,f6f6f8,c3c1ca,c7c6cc,9e9ca7,1506089856,song
