id,popularity,is_playable,linked_from,available_markets,disc_number,duration_ms,explicit,href,name,preview_url,track_number,uri,album.name,album.album_group,album.album_type,album.id,album.uri,album.available_markets,album.href,album.images,album.external_urls.spotify,album.release_date,album.release_date_precision,external_ids.isrc,external_urls.spotify,artists_ids
57BGVV6wcyhbn3hsjlqEZB,82.0,True,,,1.0,135746.0,True,https://api.spotify.com/v1/tracks/57BGVV6wcyhbn3hsjlqEZB,Element,,7.0,spotify:track:57BGVV6wcyhbn3hsjlqEZB,Meet The Woo 2,,album,4MZnolldq7ciKKlbVDzLm5,spotify:album:4MZnolldq7ciKKlbVDzLm5,,https://api.spotify.com/v1/albums/4MZnolldq7ciKKlbVDzLm5,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27362a57823eced1cb4fd93b2c1'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0262a57823eced1cb4fd93b2c1'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485162a57823eced1cb4fd93b2c1'}]",https://open.spotify.com/album/4MZnolldq7ciKKlbVDzLm5,2020-02-07,day,USUM72002041,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB,0eDvMgVFoNV3TpwtrVCoTj
1nM60x7ZOBAVVe3ipKxD8b,52.0,True,,,1.0,156360.0,False,https://api.spotify.com/v1/tracks/1nM60x7ZOBAVVe3ipKxD8b,Pilfingerdansen - Remix,,40.0,spotify:track:1nM60x7ZOBAVVe3ipKxD8b,Børnesange Fra Sigurds Bjørnetime – Børnemusik Med Sigurd Barrett,,album,5SR3tZtrlWlRU6BjhM1Q0P,spotify:album:5SR3tZtrlWlRU6BjhM1Q0P,,https://api.spotify.com/v1/albums/5SR3tZtrlWlRU6BjhM1Q0P,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731853a2ec93fde67c9b3c3b84'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021853a2ec93fde67c9b3c3b84'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511853a2ec93fde67c9b3c3b84'}]",https://open.spotify.com/album/5SR3tZtrlWlRU6BjhM1Q0P,2020-04-28,day,DKBKA0201518,https://open.spotify.com/track/1nM60x7ZOBAVVe3ipKxD8b,6EN9iGovybDcQZ2NtsqMFd
6ToFxXRBtl5TJFEyIoYK3f,65.0,True,,,1.0,277306.0,False,https://api.spotify.com/v1/tracks/6ToFxXRBtl5TJFEyIoYK3f,Mirrors - Radio Edit,https://p.scdn.co/mp3-preview/5f8095bb3d3c4345e582811f13942da157d0616d?cid=e44e7b8278114c7db211c00ea273ac69,1.0,spotify:track:6ToFxXRBtl5TJFEyIoYK3f,Mirrors (Radio Edit),,single,28GWVLkctSuSWQ1EUIxZ8m,spotify:album:28GWVLkctSuSWQ1EUIxZ8m,,https://api.spotify.com/v1/albums/28GWVLkctSuSWQ1EUIxZ8m,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273187d11964b2d17c5227bbcef'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02187d11964b2d17c5227bbcef'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851187d11964b2d17c5227bbcef'}]",https://open.spotify.com/album/28GWVLkctSuSWQ1EUIxZ8m,2013-02-11,day,USRC11300246,https://open.spotify.com/track/6ToFxXRBtl5TJFEyIoYK3f,31TPClRtHm23RisEBtV3X7
3S2XkZJH5P3AqYk8ChYsWB,74.0,True,,,1.0,242015.0,False,https://api.spotify.com/v1/tracks/3S2XkZJH5P3AqYk8ChYsWB,Friendships,https://p.scdn.co/mp3-preview/3433317a724adb2944a903d8d4fcfd890ebe0b09?cid=e44e7b8278114c7db211c00ea273ac69,1.0,spotify:track:3S2XkZJH5P3AqYk8ChYsWB,Friendships,,single,06j3MO1vx9EJQzY6nbqqZK,spotify:album:06j3MO1vx9EJQzY6nbqqZK,,https://api.spotify.com/v1/albums/06j3MO1vx9EJQzY6nbqqZK,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273092f85df593ed40536ecd7db'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02092f85df593ed40536ecd7db'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851092f85df593ed40536ecd7db'}]",https://open.spotify.com/album/06j3MO1vx9EJQzY6nbqqZK,2017-09-05,day,GBKQU1777771,https://open.spotify.com/track/3S2XkZJH5P3AqYk8ChYsWB,0oXTS2yHUnuji1R7kc9J9a
5hvwx5i67IwnCkjl9VHkNv,81.0,True,,,1.0,213869.0,False,https://api.spotify.com/v1/tracks/5hvwx5i67IwnCkjl9VHkNv,Diamonds,,1.0,spotify:track:5hvwx5i67IwnCkjl9VHkNv,Diamonds,,single,2IAyprsfyoPBGDvbLjgsN5,spotify:album:2IAyprsfyoPBGDvbLjgsN5,,https://api.spotify.com/v1/albums/2IAyprsfyoPBGDvbLjgsN5,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f207514228c0a5db1ae3b116'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f207514228c0a5db1ae3b116'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f207514228c0a5db1ae3b116'}]",https://open.spotify.com/album/2IAyprsfyoPBGDvbLjgsN5,2020-09-17,day,GBUM72002531,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv,2wY79sveU1sp5g7SokKOiI
,,,,,,,,,,,,,,,,,,,,,,,,,,
6hmpeX3ojcjwZQTDnYb8Hs,0.0,True,,,1.0,488037.0,False,https://api.spotify.com/v1/tracks/6hmpeX3ojcjwZQTDnYb8Hs,Only Time Will Tell - Vocal Mix,https://p.scdn.co/mp3-preview/eda97b98ba53c6e52c557f45e9e3b575f9ae3124?cid=e44e7b8278114c7db211c00ea273ac69,2.0,spotify:track:6hmpeX3ojcjwZQTDnYb8Hs,"Trance Sessions, Vol.12 (The Best in Trance and Dance)",,album,1ztHmXlB43gwh4bn2tWQxu,spotify:album:1ztHmXlB43gwh4bn2tWQxu,,https://api.spotify.com/v1/albums/1ztHmXlB43gwh4bn2tWQxu,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273af60f80dc4f603e947a74de7'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02af60f80dc4f603e947a74de7'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851af60f80dc4f603e947a74de7'}]",https://open.spotify.com/album/1ztHmXlB43gwh4bn2tWQxu,2011-12-08,day,DEK021177001,https://open.spotify.com/track/6hmpeX3ojcjwZQTDnYb8Hs,"5zIcHgFNdGXtm07osu6vFN,2DWEGeUDT1fbmLCUsygDO4"
0pqnGHJpmpxLKifKRmU6WP,87.0,True,,,1.0,204346.0,False,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,Believer,,4.0,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Evolve,,album,33pt9HBdGlAbRGBHQgsZsU,spotify:album:33pt9HBdGlAbRGBHQgsZsU,,https://api.spotify.com/v1/albums/33pt9HBdGlAbRGBHQgsZsU,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025675e83f707f1d7271e5cf8a'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a'}]",https://open.spotify.com/album/33pt9HBdGlAbRGBHQgsZsU,2017-06-23,day,USUM71700626,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q
27OeeYzk6klgBh83TSvGMA,94.0,True,,,1.0,161384.0,True,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,https://p.scdn.co/mp3-preview/a1514ea0f0c4f729a2ed238ac255f988af195569?cid=e44e7b8278114c7db211c00ea273ac69,7.0,spotify:track:27OeeYzk6klgBh83TSvGMA,F*CK LOVE (SAVAGE),,album,3YjfdLdpQcVI72uKhooZst,spotify:album:3YjfdLdpQcVI72uKhooZst,,https://api.spotify.com/v1/albums/3YjfdLdpQcVI72uKhooZst,"[{'height': 640, 'width': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02'}, {'height': 300, 'width': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02df16d539f508603bfb1efe02'}, {'height': 64, 'width': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851df16d539f508603bfb1efe02'}]",https://open.spotify.com/album/3YjfdLdpQcVI72uKhooZst,2020-11-06,day,USSM12006586,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,2tIP7SsRs7vjIcLrU85W8J
,,,,,,,,,,,,,,,,,,,,,,,,,,
